Manufacturer;Model Number;Description;Nameplate Pmax;PTC;A_c;N_s;N_p;BIPV;Nameplate Isc;Nameplate Voc;Nameplate Ipmax;Nameplate Vpmax;Average NOCT;CONSPmax;CONSIsc;CONSVoc;CONSIpmax;CONSVpmax;IPmax, low;VPmax, low;IPmax, NOCT;VPmax, NOCT;Mounting;Type;Short Side;Long Side
;;;(W);;(m2);;;;(A);(V);(A);(V);(°C);(%/°C);(%/C);(%/C);(%/C);(%/C);(A);(V);(A);(V);;;(m);(m)
Ablytek;6MN6A270;270 W Monocrystalline Module;270;242,1;1,627;60;1;N;9,34;38,63;8,81;30,72;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,24;29,84;8,81;26,34;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A275;275 W Monocrystalline Module;275;246,7;1,627;60;1;N;9,42;38,97;8,88;30,99;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,26;30,1;8,88;26,57;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A280;280 W Monocrystalline Module;280;251,3;1,627;60;1;N;9,51;39,31;8,96;31,26;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,28;30,37;8,96;26,81;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A285;285 W Monocrystalline Module;285;256;1,627;60;1;N;9,59;39,65;9,04;31,53;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,3;30,63;9,04;27,04;Rack;Flat Plate;0,992;1,64
Ablytek;6MN6A290;290 W Monocrystalline Module;290;260,6;1,627;60;1;N;9,67;39,99;9,12;31,8;47,4;-0,4509;0,0521;-0,3137;0,0113;-0,4632;2,32;30,89;9,12;27,27;Rack;Flat Plate;0,992;1,64
Advance Power;API-P210;210 W Polycrystalline Module;210;186,8;1,638;60;1;N;7,6;35,94;7,09;29,64;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,43;29,16;5,71;26,86;Rack;Flat Plate;0,995;1,646
Advance Power;API-P215;215 W Polycrystalline Module;215;191,3;1,638;60;1;N;7,83;36;7,18;29,94;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,44;29,46;5,78;27,13;Rack;Flat Plate;0,995;1,646
Advance Power;API-P220;220 W Polycrystalline Module;220;195,9;1,638;60;1;N;7,95;36,06;7,3;30,12;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,47;29,63;5,88;27,29;Rack;Flat Plate;0,995;1,646
Advance Power;API-M225;225 W Monocrystalline Module;225;200,7;1,638;60;1;N;8,11;37,02;7,5;30;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,56;29,67;5,99;27,45;Rack;Flat Plate;0,995;1,646
Advance Power;API-P225;225 W Polycrystalline Module;225;200,5;1,638;60;1;N;8,1;36,42;7,41;30,36;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,49;29,87;5,96;27,51;Rack;Flat Plate;0,995;1,646
Advance Power;API-M230;230 W Monocrystalline Module;230;205,3;1,638;60;1;N;8,18;37,32;7,55;30,48;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,57;30,14;6,03;27,89;Rack;Flat Plate;0,995;1,646
Advance Power;API-P230;230 W Polycrystalline Module;230;205;1,638;60;1;N;8,17;36,6;7,55;30,48;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,52;29,99;6,08;27,62;Rack;Flat Plate;0,995;1,646
Advance Power;API-M235;235 W Monocrystalline Module;235;209,8;1,638;60;1;N;8,26;37,5;7,59;30,96;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,58;30,61;6,06;28,33;Rack;Flat Plate;0,995;1,646
Advance Power;API-P235;235 W Polycrystalline Module;235;209,6;1,638;60;1;N;8,23;36,72;7,68;30,6;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,59;29,82;6,18;27,73;Rack;Flat Plate;0,995;1,646
Advance Power;API-M240;240 W Monocrystalline Module;240;214,4;1,638;60;1;N;8,29;37,56;7,69;31,2;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,6;30,85;6,14;28,55;Rack;Flat Plate;0,995;1,646
Advance Power;API-P240;240 W Polycrystalline Module;240;214,2;1,638;60;1;N;8,42;36,72;7,9;30,54;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,63;29,76;6,36;27,67;Rack;Flat Plate;0,995;1,646
Advance Power;API-M245;245 W Monocrystalline Module;245;219;1,638;60;1;N;8,32;37,62;7,78;31,5;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,63;31,31;6,2;28,85;Rack;Flat Plate;0,995;1,646
Advance Power;API-P245;245 W Polycrystalline Module;245;218,8;1,638;60;1;N;8,46;36,9;8;30,84;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,65;30,05;6,44;27,95;Rack;Flat Plate;0,995;1,646
Advance Power;API-M250;250 W Monocrystalline Module;250;223,6;1,638;60;1;N;8,59;37,62;8,17;30,6;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,71;30,42;6,51;28,03;Rack;Flat Plate;0,995;1,646
Advance Power;API-P250;250 W Polycrystalline Module;250;223,4;1,638;60;1;N;8,52;37,2;8,03;31,2;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,66;30,4;6,46;28,27;Rack;Flat Plate;0,995;1,646
Advance Power;API-M255;255 W Monocrystalline Module;255;228,2;1,638;60;1;N;8,67;37,68;8,35;30,6;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,75;30,42;6,66;28,03;Rack;Flat Plate;0,995;1,646
Advance Power;API-P255;255 W Polycrystalline Module;255;228;1,638;60;1;N;8,56;37,5;8,08;31,56;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,67;30,76;6,5;28,6;Rack;Flat Plate;0,995;1,646
Advance Power;API-M260;260 W Monocrystalline Module;260;232,9;1,638;60;1;N;8,8;37,8;8,5;30,6;46;-0,4796;0,05373;-0,3564;-0,01732;-0,4685;1,78;30,42;6,78;28,03;Rack;Flat Plate;0,995;1,646
Advance Power;API-P260;260 W Polycrystalline Module;260;231,5;1,951;72;1;N;7,83;43,2;7,24;35,93;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,46;35,3;5,85;32,39;Rack;Flat Plate;0,995;1,961
Advance Power;API-M265;265 W Monocrystalline Module;265;235,7;1,951;72;1;N;8,11;44,42;7,36;36;47,9;-0,4485;0,05332;-0,3244;-0,0183;-0,4339;1,45;35,49;5,94;32,51;Rack;Flat Plate;0,995;1,961
Advance Power;API-P265;265 W Polycrystalline Module;265;236;1,951;72;1;N;7,95;43,27;7,33;36,14;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,48;35,5;5,93;32,58;Rack;Flat Plate;0,995;1,961
Advance Power;API-M270;270 W Monocrystalline Module;270;240,3;1,951;72;1;N;8,14;44,64;7,44;36,21;47,9;-0,4485;0,05332;-0,3244;-0,0183;-0,4339;1,47;35,7;6,01;32,7;Rack;Flat Plate;0,995;1,961
Advance Power;API-P270;270 W Polycrystalline Module;270;240,6;1,951;72;1;N;8,1;43,7;7,41;36,43;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,48;36,46;5,99;33,1;Rack;Flat Plate;0,995;1,961
Advance Power;API-M275;275 W Monocrystalline Module;275;244,9;1,951;72;1;N;8,18;44,78;7,52;36,58;47,9;-0,4485;0,05332;-0,3244;-0,0183;-0,4339;1,55;36,25;6,04;32,97;Rack;Flat Plate;0,995;1,961
Advance Power;API-P275;275 W Polycrystalline Module;275;245,2;1,951;72;1;N;8,17;43,92;7,52;36,58;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,51;36,61;6,08;33,24;Rack;Flat Plate;0,995;1,961
Advance Power;API-M280;280 W Monocrystalline Module;280;249,5;1,951;72;1;N;8,21;44,86;7,6;36,86;47,9;-0,4485;0,05332;-0,3244;-0,0183;-0,4339;1,57;36,53;6,11;33,22;Rack;Flat Plate;0,995;1,961
Advance Power;API-P280;280 W Polycrystalline Module;280;249,8;1,951;72;1;N;8,23;44,06;7,63;36,72;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,53;36,75;6,16;33,37;Rack;Flat Plate;0,995;1,961
Advance Power;API-M285;285 W Monocrystalline Module;285;254;1,951;72;1;N;8,39;44,21;7,77;36,72;47,9;-0,4485;0,05332;-0,3244;-0,0183;-0,4339;1,6;36,39;6,24;33,1;Rack;Flat Plate;0,995;1,961
Advance Power;API-P285;285 W Polycrystalline Module;285;256,9;1,951;72;1;N;8,32;44,21;7,75;36,79;46,2;-0,4402;0,06001;-0,3285;-0,008008;-0,4339;1,6;36,17;6,21;33,88;Rack;Flat Plate;0,995;1,961
Advance Power;API-M290;290 W Monocrystalline Module;290;258,6;1,951;72;1;N;8,48;44,43;7,9;36,72;47,9;-0,4485;0,05332;-0,3244;-0,0183;-0,4339;1,63;36,37;6,35;33,21;Rack;Flat Plate;0,995;1,961
Advance Power;API-P290;290 W Polycrystalline Module;290;261,5;1,951;72;1;N;8,46;44,28;7,96;36,79;46,2;-0,4402;0,06001;-0,3285;-0,008008;-0,4339;1,65;36,17;6,38;33,88;Rack;Flat Plate;0,995;1,961
Advance Power;API-P295;295 W Polycrystalline Module;295;266,1;1,951;72;1;N;8,49;44,42;8;37,01;46,2;-0,4402;0,06001;-0,3285;-0,008008;-0,4339;1,66;36,39;6,41;34,08;Rack;Flat Plate;0,995;1,961
Advance Power;API-P300;300 W Polycrystalline Module;300;270,7;1,951;72;1;N;8,54;44,86;8,05;37,66;46,2;-0,4402;0,06001;-0,3285;-0,008008;-0,4339;1,67;37,02;6,45;34,68;Rack;Flat Plate;0,995;1,961
Advance Power;API-P305;305 W Polycrystalline Module;305;275,4;1,951;72;1;N;8,56;45;8,08;37,87;46,2;-0,4402;0,06001;-0,3285;-0,008008;-0,4339;1,67;37,23;6,48;34,88;Rack;Flat Plate;0,995;1,961
Advance Power;API-P310;310 W Polycrystalline Module;310;277,3;1,951;72;1;N;8,62;45,22;8,16;38,02;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,69;37,35;6,57;34,41;Rack;Flat Plate;0,995;1,961
Advance Power;API-P315;315 W Polycrystalline Module;315;281,9;1,951;72;1;N;8,67;45,58;8,24;38,45;47,6;-0,4501;0,05758;-0,3342;-0,009288;-0,4445;1,71;37,78;6,63;34,8;Rack;Flat Plate;0,995;1,961
Advance Power;API-P320;320 W, 72 cell polycrystalline module, 1000V max system Vdc;320;288,7;1,94;72;;N;9,38;45,5;8,75;36,6;47,7;-0,42;0,05;-0,32;-0,01;-0,42;1,74;35,44;7,02;33,2;;;;
Advance Power;API-P325;325 W, 72 cell polycrystalline module, 1000V max system Vdc;325;293,4;1,94;72;;N;9,44;45,8;8,81;36,9;47,7;-0,42;0,05;-0,32;-0,01;-0,42;1,75;35,72;7,07;33,5;;;;
Advance Power;API-M330;330 W, 72 cell monocrystalline module, 1000V max system Vdc;330;302,4;1,94;72;;N;9,57;46,8;8,75;37,7;44,6;-0,42;0,04;-0,3;-0,02;-0,41;1,73;36,23;7,01;34,1;;;;
Advance Power;API-P330;330 W, 72 cell polycrystalline module, 1000V max system Vdc;330;298;1,94;72;;N;9,5;46,1;8,87;37,2;47,7;-0,42;0,05;-0,32;-0,01;-0,42;1,76;36,05;7,12;33,8;;;;
Advance Power;API-M335;335 W, 72 cell monocrystalline module, 1000V max system Vdc;335;307,1;1,94;72;;N;9,61;47;8,82;38;44,6;-0,42;0,04;-0,3;-0,02;-0,41;1,75;36,49;7,06;34,4;;;;
Advance Power;API-P335;335 W, 72 cell polycrystalline module, 1000V max system Vdc;335;302,7;1,94;72;;N;9,56;46,4;8,94;37,6;47,7;-0,42;0,05;-0,32;-0,01;-0,42;1,78;36,37;7,17;34,1;;;;
Advance Power;API-M340;340 W, 72 cell monocrystalline module, 1000V max system Vdc;340;311,8;1,94;72;;N;9,64;47,2;8,96;38,3;44,6;-0,42;0,04;-0,3;-0,02;-0,41;1,77;36,82;7,18;34,7;;;;
Advance Power;API-M345;345 W, 72 cell monocrystalline module, 1000V max system Vdc;345;315,8;1,94;72;;N;9,72;47,3;8,98;38,4;44,6;-0,43;0,04;-0,3;-0,02;-0,41;1,78;36,9;7,19;34,7;;;;
Advance Power;API-M350;350 W, 72 cell monocrystalline module, 1000V max system Vdc;350;320,5;1,94;72;;N;9,81;47,4;9,1;38,5;44,6;-0,43;0,04;-0,3;-0,02;-0,41;1,8;36,97;7,29;34,8;;;;
Advance Power;API-M355;355 W, 72 cell monocrystalline module, 1000V max system Vdc;355;325,5;1,94;72;;N;9,9;47,5;9,21;38,6;46,7;-0,386;0,042;-0,282;-0,005;-0,381;1,82;37,51;7,38;35,4;;;;
Advance Power;API-M360;360 W, 72 cell monocrystalline module, 1000V max system Vdc;360;330,2;1,94;72;;N;9,99;47,6;9,32;38,6;46,7;-0,386;0,042;-0,282;-0,005;-0,381;1,84;37,58;7,47;35,5;;;;
Advance Power;API-M365;365 W, 72 cell monocrystalline module, 1000V max system Vdc;365;334,9;1,94;72;;N;10,08;47,7;9,43;38,7;46,7;-0,386;0,042;-0,282;-0,005;-0,381;1,86;37,66;7,56;35,5;;;;
Advance Power;API-M370;370 W, 72 cell monocrystalline module, 1000V max system Vdc;370;339,6;1,94;72;;N;10,17;47,8;9,54;38,8;46,7;-0,386;0,042;-0,282;-0,005;-0,381;1,88;37,73;7,65;35,6;;;;
Alps Technology;ATI-S572-175;175 W Monocrystalline Module;175;151,3;1,287;72;1;N;5,17;43,99;4,78;36,63;49,9;-0,5072;0,0415;-0,3616;0,0001;-0,5073;0,99;34,92;3,68;32,04;Rack;Flat Plate;0,82;1,57
Alps Technology;ATI-S572-180;180 W Monocrystalline Module;180;155,7;1,287;72;1;N;5,31;44,06;4,9;36,72;49,9;-0,5072;0,0415;-0,3616;0,0001;-0,5073;1,02;35,01;3,77;32,12;Rack;Flat Plate;0,82;1,57
Alps Technology;ATI-S572-185;185 W Monocrystalline Module;185;160,2;1,287;72;1;N;5,43;44,14;5,03;36,79;49,9;-0,5072;0,0415;-0,3616;0,0001;-0,5073;1,04;35,08;3,87;32,18;Rack;Flat Plate;0,82;1,57
Alps Technology;ATI-M660-220;220 W Polycrystalline Module;220;189,1;1,61;60;1;N;7,95;36,06;7,3;30,12;50,2;-0,5196;0,0548;-0,3624;-0,0413;-0,4835;1,41;29,51;5,56;26,47;Rack;Flat Plate;0,99;1,626
Alps Technology;ATI-M660-225;225 W Polycrystalline Module;225;193,6;1,61;60;1;N;8,04;36,24;7,44;30,24;50,2;-0,5196;0,0548;-0,3624;-0,0413;-0,4835;1,44;29,62;5,67;26,58;Rack;Flat Plate;0,99;1,626
Alps Technology;ATI-M660-230;230 W Polycrystalline Module;230;198;1,61;60;1;N;8,1;36,42;7,58;30,36;50,2;-0,5196;0,0548;-0,3624;-0,0413;-0,4835;1,47;29,74;5,77;26,68;Rack;Flat Plate;0,99;1,626
Alps Technology;ATI-M660-235;235 W Polycrystalline Module;235;202,5;1,61;60;1;N;8,23;36,72;7,68;30,6;50,2;-0,5196;0,0548;-0,3624;-0,0413;-0,4835;1,48;29,98;5,85;26,89;Rack;Flat Plate;0,99;1,626
Alps Technology;ATI-M660-240;240 W Polycrystalline Module;240;207;1,61;60;1;N;8,32;36,84;7,83;30,72;50,2;-0,5196;0,0548;-0,3624;-0,0413;-0,4835;1,51;30,09;5,97;27;Rack;Flat Plate;0,99;1,626
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-245W;245 W Polycrystalline Module;245;216,4;1,624;60;1;N;8,75;37,5;8,17;30;46,8;-0,51;0,07;-0,37;-0,03;-0,48;1,66;29,26;6,54;26,86;Rack;Flat Plate;0,99;1,64
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-250W;250 W Polycrystalline Module;250;221;1,624;60;1;N;8,83;37,7;8,28;30,2;46,8;-0,51;0,07;-0,37;-0,03;-0,48;1,68;29,46;6,63;27,03;Rack;Flat Plate;0,99;1,64
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-255W;255 W Polycrystalline Module;255;225,5;1,624;60;1;N;8,89;37,3;8,51;30;46,8;-0,51;0,07;-0,37;-0,03;-0,48;1,73;29,26;6,81;26,86;Rack;Flat Plate;0,99;1,64
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-260W;260 W Polycrystalline Module;260;230,1;1,624;60;1;N;9,01;38;8,5;30,6;46,8;-0,51;0,07;-0,37;-0,03;-0,48;1,73;29,85;6,8;27,39;Rack;Flat Plate;0,99;1,64
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-265W;265 W Polycrystalline Module, White Backsheet, White Frame;265;241,7;1,611;60;1;N;9,24;38,29;8,62;30,74;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,69;30,43;6,87;28,19;Rack;Flat Plate;0,986;1,634
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-270W;270 W Polycrystalline Module, White Backsheet, White Frame;270;246,4;1,611;60;1;N;9,31;38,72;8,72;30,97;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,71;30,65;6,95;28,4;Rack;Flat Plate;0,986;1,634
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-275W;275 W Polycrystalline Module, White Backsheet, White Frame;275;251,1;1,611;60;1;N;9,35;38,92;8,78;31,32;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,72;31;7;28,72;Rack;Flat Plate;0,986;1,634
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M30-280W;280 W Monocrystalline Module, White Backsheet, White Frame;280;255,9;1,611;60;1;N;9,23;39,26;9,03;31,01;45,2;-0,421;0,0491;-0,297;-0,0035;-0,418;1,74;30,68;7,26;28,45;Rack;Flat Plate;0,986;1,634
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P30-280W;280 W Polycrystalline Module, White Backsheet, White Frame;280;255,8;1,611;60;1;N;9,47;39,16;8,84;31,68;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,73;31,36;7,05;29,05;Rack;Flat Plate;0,986;1,634
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M30-285W;285 W Monocrystalline Module, White Backsheet, White Frame;285;260,6;1,611;60;1;N;9,46;39,18;8,95;31,85;45,2;-0,421;0,0491;-0,297;-0,0035;-0,418;1,72;31,51;7,19;29,22;Rack;Flat Plate;0,986;1,634
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P-320W;320 W Polycrystalline Module, White Backsheet, White Frame;320;291,9;1,923;72;1;N;9,24;45,94;8,62;37,13;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,66;36,85;6,89;34,55;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P-325W;325 W Polycrystalline Module, White Backsheet, White Frame;325;296,6;1,923;72;1;N;9,28;46,31;8,72;37,28;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,68;37;6,97;34,69;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P-330W;330 W Polycrystalline Module, White Backsheet, White Frame;330;301,3;1,923;72;1;N;9,35;46,65;8,78;37,58;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,69;37,3;7,02;34,97;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-335W;335 W Monocrystalline Module, White Backsheet, White Frame;335;306,2;1,923;72;1;N;9,33;46,75;8,83;37,94;45,2;-0,421;0,0491;-0,297;-0,0035;-0,418;1,72;37,03;7,1;34,86;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6P-335W;335 W Polycrystalline Module, White Backsheet, White Frame;335;306;1,923;72;1;N;9,47;46,83;8,84;37,9;45,3;-0,422;0,0551;-0,313;0,0599;-0,435;1,7;37,61;7,06;35,27;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-340W;340 W Monocrystalline Module, White Backsheet, White Frame;340;310,9;1,923;72;1;N;9,41;46,91;8,91;38,17;45,2;-0,421;0,0491;-0,297;-0,0035;-0,418;1,74;37,25;7,16;35,07;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-345W;345 W Monocrystalline Module, White Backsheet, White Frame;345;315,6;1,923;72;1;N;9,48;47,13;8,99;38,38;45,2;-0,421;0,0491;-0,297;-0,0035;-0,418;1,76;37,46;7,22;35,26;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-350W;350 W Monocrystalline Module, White Backsheet, White Frame;350;320,3;1,923;72;1;N;9,59;47,64;9,09;38,51;45,2;-0,421;0,0491;-0,297;-0,0035;-0,418;1,78;37,58;7,3;35,38;Rack;Flat Plate;0,986;1,95
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-BHC-355W;355 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;355;328,4;1,78;60;2;N;11,24;40,3;10,54;33,7;45,4;-0,381;0,062;-0,313;;;2,12;31,96;8,5;31,1;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-355W;355 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;355;327,5;1,81;60;2;N;11,25;40,3;10,51;33,8;46;-0,38;0,055;-0,279;;;2,12;32,44;8,49;31,4;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-355W Black;355W Monocrystalline module, black backsheet;355;331,1;1,83;40;3;N;11,25;40,3;10,51;33,8;44,2;-0,359;0,053;-0,281;;;2,16;32,24;7,38;35,5;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-BHC-360W;360 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;360;333,1;1,78;60;2;N;11,33;40,5;10,62;33,9;45,4;-0,381;0,062;-0,313;;;2,14;32,15;8,56;31,3;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-360W;360 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;360;332,2;1,81;60;2;N;11,35;40,5;10,59;34;46;-0,38;0,055;-0,279;;;2,13;32,63;8,55;31,6;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-360W Black;360W Monocrystalline module, black backsheet;360;335,9;1,83;40;3;N;11,35;40,5;10,59;34;44,2;-0,359;0,053;-0,281;;;2,18;32,43;7,44;35,7;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-BHC-365W;365 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;365;337,9;1,78;60;2;N;11,41;40,7;10,71;34,1;45,4;-0,381;0,062;-0,313;;;2,16;32,34;8,64;31,5;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-365W;365 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;365;337;1,81;60;2;N;11,43;40,7;10,68;34,2;46;-0,38;0,055;-0,279;;;2,15;32,82;8,62;31,8;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-365W Black;365W Monocrystalline module, black backsheet;365;340,7;1,83;40;3;N;11,43;40,7;10,68;34,2;44,2;-0,359;0,053;-0,281;;;2,2;32,62;7,5;35,9;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-BHC-370W;370 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;370;342,6;1,78;60;2;N;11,5;40,9;10,79;34,3;45,4;-0,381;0,062;-0,313;;;2,17;32,53;8,7;31,7;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-370W;370 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;370;341,7;1,81;60;2;N;11,52;40,9;10,76;34,4;46;-0,38;0,055;-0,279;;;2,17;33,01;8,69;32;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-370W Black;370W Monocrystalline module, black backsheet;370;345,5;1,83;40;3;N;11,52;40,9;10,76;34,4;44,2;-0,359;0,053;-0,281;;;2,21;32,82;7,56;36,1;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-BHC-375W;375 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;375;347,4;1,78;60;2;N;11,59;41,1;10,87;34,5;45,4;-0,381;0,062;-0,313;;;2,19;32,72;8,77;31,9;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-375W;375 W, 120 half-cut cell monocrystalline module, 1500V max system Vdc;375;346,5;1,81;60;2;N;11,6;41,1;10,84;34,6;46;-0,38;0,055;-0,279;;;2,19;33,21;8,75;32,2;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M120-HC-375W Black;375W Monocrystalline module, black backsheet;375;350,3;1,83;40;3;N;11,6;41,1;10,84;34,6;44,2;-0,359;0,053;-0,281;;;2,23;33,01;7,62;36,4;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-BHC-395W;395 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;395;367,1;1,95;72;2;N;10,29;48,7;9,76;40,5;45,4;-0,361;0,043;-0,261;;;1,93;39,07;7,76;38,2;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-HC-395W;395 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;395;365,4;1,91;72;2;N;10,37;48,7;9,86;40,1;46,5;-0,365;0,042;-0,263;;;1,91;39,18;7,68;38,3;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-BHC-400W;400 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;400;371,8;1,95;72;2;N;10,33;48,9;9,81;40,8;45,4;-0,361;0,043;-0,261;;;1,94;39,36;7,81;38,5;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-HC-400W;400 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;400;370,2;1,91;72;2;N;10,45;49;9,93;40,3;46,5;-0,365;0,042;-0,263;;;1,93;39,37;7,73;38,5;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-BHC-405W;405 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;405;376,6;1,95;72;2;N;10,37;49,1;9,86;41,1;45,4;-0,361;0,043;-0,261;;;1,95;39,65;7,84;38,8;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-HC-405W;405 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;405;375;1,91;72;2;N;10,52;49,2;10;40,5;46,5;-0,365;0,042;-0,263;;;1,94;39,57;7,79;38,7;;;;
Amerisolar-Worldwide Energy and Manufacturing USA Co., Ltd;AS-6M-BHC-410W;410 W, 144 half-cut cell monocrystalline module, 1500V max system Vdc;410;381,4;1,95;72;2;N;10,41;49,3;9,91;41,4;45,4;-0,361;0,043;-0,261;;;1,96;39,94;7,88;39,1;;;;
