Manufacturer Name,Model Number,Description,Maximum Continuous Output Power at Unity Power Factor,Nominal Voltage,Weighted Efficiency,Night Tare Loss,Power Rating. Continuous. 40 deg C,"Night
Tare Loss. 40 deg C",Voltage Minimum,Voltage Nominal,Voltage Maximum,Power Level,Power Level,Power Level,Power Level,Power Level,Power Level,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vmin.,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vnom,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax,Efficiency Vmax
,,,(kW),(Vac),(%),(W),(kW),(W),(Vdc),(Vdc),(Vdc),10% (kW),20% (kW),30% (kW),50% (kW),75% (kW),100% (kW),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%),10% Pwr Lvl (%),20% Pwr Lvl (%),30% Pwr Lvl (%),50% Pwr Lvl (%),75% Pwr Lvl (%),100% Pwr Lvl (%),Wtd (%)
Darfon Electronics Corp.,HB51xxxxxx [240V],"5000 W. 240 Vac. Grid Support Utility Interactive Battery Inverter. where x = 0-9. A-Z or blank. (0-9 for color, A-Z for customer). Inverter is capable of PCS functionality.",4.665,240,90,0.6021,,,48,53,56.5,0.4664804,0.9329608,1.3994412,2.332402,3.498603,4.664804,82.117948,89.1570854,90.2157694,90.0062994,88.7865626,86.8903732,88.87118423,82.0053938,89.6871098,91.1703254,91.382553,90.5542876,89.4695026,90.36259398,80.8863796,89.1741172,90.992483,91.4401306,91.1443522,90.1806668,90.63122644
Darfon Electronics Corp.,H5001xxxxxx [240V],"5000 W. 240 Vac. Hybrid PV and Battery Grid Support Utility Interactive Inverter. where x = 0-9. A-Z or blank. (0-9 for color, A-Z for customer). Inverter is capable of PCS functionality.",4.84,240,94.5,28.48,,,300,360,380,0.4844174,0.9688348,1.4532522,2.422087,3.6331305,4.844174,86.7,92.8,94.4,95.2,95.1,94.4,94.5,87.1,93.2,94.6,95.5,95.4,94.8,94.8,87.2,93.2,94.7,95.5,95.3,94.8,94.8
Darfon Electronics Corp.,H5000xxxxxx [240V],"5000 W. 240 Vac. Hybrid PV and Battery Grid support Utility Interactive Inverter with PCS functionality. where x = 0-9. A-Z or blank. (0-9 for color, A-Z for customer). Inverter is capable of PCS functionality.",5.074,240,95.5,0.43,,,300,360,380,0.508,1.016,1.524,2.54,3.81,5.076,89.2283384,93.7362598,94.9074236,95.7518226,95.8863224,95.612957,95.35311883,89.4891252,93.9485618,95.256629,95.913851,96.0337974,95.8858428,95.54190205,89.3176694,94.0048214,95.202498,95.9476754,96.0160956,95.9196038,95.5307703
Darfon Electronics Corp.,H7xxxxxx [240V],"9600 W. 240 Vac. Grid Support Utility Interactive Inverter. where x = 0-9. A-Z or blank. (0-9 for color, A-Z for customer) ",9.60401,240,96.5,26.9,,,230,360,410,0.960401,1.920802,2.881203,4.802005,7.2030075,9.60401,91.39757,94.70780667,95.70947889,96.12713778,96.21569667,96.02298667,95.8585981,92.06342444,95.55112222,96.36263889,96.84357556,96.80987,96.57025778,96.49850461,92.32957778,95.68878111,96.55808,97.00527,96.96583111,96.70953889,96.6630659
Delta Electronics,E4-TL-US [240V],3840 W. 240 Vac. transformerless. Bi-directional. Multi-mode Grid Support Utility Interactive Solar and Energy Storage Inverter,3.87,240,97.5,1.27,,,200,380,400,0.386958,0.773916,1.160874,1.93479,2.902185,3.86958,92.85728571,95.3032381,96.08161905,97.00795238,97.34328571,97.36090476,96.84090429,95.30247619,97.10485714,97.72614286,98.09328571,98.14290476,98.11138095,97.91537762,94.285,96.45361905,97.27733333,97.8607619,98.0037619,97.94480952,97.65735524
Delta Electronics,E4-TL-US(AC) [240V],3840 W. 240 Vac Transformerless Grid Support Utility Interactive Energy Storage Inverter,3.888,240,98.5,1.28,,,350,400,480,0.388756,0.777512,1.166268,1.94378,2.91567,3.88756,95.94809524,97.61442857,98.15304762,98.40671429,98.61461905,98.39238095,98.3477881,95.47571429,97.3497619,97.97661905,98.37157143,98.71195238,98.51771429,98.34496143,94.65704762,96.79928571,97.543,98.10357143,98.616,98.42519048,98.12089571
Delta Electronics,E4_BDI [240V],3480 W. 240 Vac. transformerless Grid Support Utility Interactive Hybrid Inverter capable of receiving input from EVSE Box,3.89818,240,97,1.3,,,280,380,480,0.389818,0.779636,1.169454,1.94909,2.923635,3.89818,92.77237886,95.44198708,96.4856489,97.12498822,97.36472742,97.42883036,96.93226696,93.25206181,96.15204182,97.05693156,97.68761848,97.8588772,97.92505621,97.46037396,90.50517467,94.68916318,96.10848301,97.2209251,97.55718515,97.67179207,96.89297511
Delta Electronics,E6-TL-US(AC) [240V],5000 W. 240 Vac. transformerless. Bi-dierctional. Muti-mode Grid Support Utility Interactive Energy Storage Inverter,5,240,98,2.05,,,350,400,480,0.5,1,1.5,2.5,3.75,5,96.48090476,97.58457143,98.11671429,98.47357143,98.3237619,97.93509524,98.20026905,95.89380952,97.55080952,98.00838095,98.45066667,98.35033333,98.1237619,98.18080333,94.87180952,96.93409524,97.58580952,98.19490476,98.16728571,97.9672381,97.89982762
Delta Electronics,E6-TL-US [240V],5760 W. 240 Vac. transformerless. Bi-dierctional. Muti-mode Grid Support Utility Interactive Solar and Energy Storage Inverter,5.76,240,97.5,2.25,,,200,380,480,0.576,1.152,1.728,2.88,4.32,5.76,93.96362597,95.73244638,96.53280768,97.11834865,97.06237799,96.77455357,96.80574551,96.25743445,97.61499419,97.98194816,98.08144062,97.68044061,97.62673032,97.73795344,95.23856998,96.98250906,97.53566441,97.8342096,97.75479415,97.45850221,97.59109801
Delta Electronics,E6_BDI [240V],5760 W. 240 Vac. transformerless Grid Support Utility Interactive Hybrid Inverter capable of receiving input from EVSE Box,5.823,240,97.5,3.56,,,280,380,480,0.582266,1.164532,1.746798,2.91133,4.366995,5.82266,94.38060855,96.51665235,97.11302375,97.2899047,97.40382714,97.38489928,97.17877314,95.19177312,96.98238081,97.61724508,97.87717766,97.87935682,97.84990387,97.69362099,93.38121327,96.12099477,97.09155357,97.57896619,97.68935561,97.67435306,97.34294373
